Date,User,Capitec_Tweets
2022-12-31 12:08:23+00:00,CapitecBankSA,"@raw_hun Hi there, please give us more details about your query to look into this."
2022-12-31 11:59:17+00:00,CapitecBankSA,@WorstServiceSA We do have an option for an account holder to accept/decline a Mandate that gets sent by the merchant.
2022-12-31 11:56:52+00:00,WorstServiceSA,"@CapitecBankSA With other banks except yours, a user is given an option to accept or reject a debit order. How many years till you get there?"
2022-12-31 11:52:12+00:00,CapitecBankSA,"@WorstServiceSA Due to security measures, data protection and safeguarding our client's funds, we do not provide account details to a third party. A debit order only gets processed if such details were provided to the merchant. There are debit orders that cannot be reversed nor stopped."
2022-12-31 11:48:42+00:00,raw_hun,@CapitecBankSA @WorstServiceSA You did the same thing to my mother. She lost R10k from her pension and she has not seen a cent since. Your bank is just useless.
2022-12-31 11:47:34+00:00,WorstServiceSA,"@CapitecBankSA She has called @CapitecBankSA and she has been to your branch, no help. 

How is it so easy for people who use your bank to lose money?

Why is your bank not secure?"
2022-12-31 11:47:20+00:00,ZIZIPOUR_,@CapitecBankSA When is the closing date ?
2022-12-31 11:40:56+00:00,CapitecBankSA,"@WorstServiceSA We require to know the type of debit order in question for us to best assist. If it's a Debi Check, it is mandatory for the account holder to contact the debiting company directly for assistance. Please advise the account holder to contact us."
2022-12-31 11:37:52+00:00,WorstServiceSA,"@CapitecBankSA What kind of a bank are you that can't even reverse a debit order below R300?
She was told to go to the Bank, and she went to the Springs Branch only to be told to contact the company that did the debit."
2022-12-31 11:36:43+00:00,WorstServiceSA,@CapitecBankSA Money was taken from your client's account via debit order that she did not authorize and no one is willing to help.
2022-12-31 11:34:44+00:00,TengaTinashe,@Madam_PB @CapitecBankSA
2022-12-31 11:32:27+00:00,CapitecBankSA,@Tshepi247 You're welcome.
2022-12-31 11:29:52+00:00,CapitecBankSA,"@WorstServiceSA Hi there, we apologize for the inconvenience. Is it a normal debit order or is it a Debi Check?"
2022-12-31 11:27:08+00:00,TshepoMamabolo6,"@raw_hun @WorstServiceSA @CapitecBankSA @CapitecBankSA is a rubbish bank. I always laugh at those who save their money with @CapitecBankSA. Your money will disappear at some point and #Capitec will never accept responsibility,  trust me."
2022-12-31 11:24:54+00:00,Tshepi247,"@CapitecBankSA Oh OK! Thank you for your response. The ""positive data balance"" mentioned threw me off 🤦🏽‍♀️"
2022-12-31 11:23:48+00:00,raw_hun,@WorstServiceSA @CapitecBankSA My mother lost R10k of her pension money from @CapitecBankSA. Same thing happened to her.
2022-12-31 11:22:47+00:00,WorstServiceSA,Bank. I mean you can literally reverse a debit order with all these other banks from your App. What is wrong with @CapitecBankSA ?
2022-12-31 11:22:46+00:00,WorstServiceSA,I saved some money on @CapitecBankSA only to discover that there was a debit order that we through.  @CapitecBankSA is refusing to assist me reverse the Debit order. They say I must find the company that did the debit and ask them to return my money. This is indeed a rubbish
2022-12-31 11:19:30+00:00,SelbyNdlovu8,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Kancane kancane siyeeeezaaa😁
2022-12-31 11:18:02+00:00,LARSH_MTL,"@CapitecBankSA Ehh monna why ojampisa so 😭😭😭😭kere le remote banking app is not working,no money to send out to baddies for drinks today 😂😂😂😂"
2022-12-31 11:15:01+00:00,CapitecBankSA,"@LARSH_MTL Hi @LARSH_MTL, the Remote Banking App is up and running. Are you experiencing an issue with your App?"
2022-12-31 11:12:09+00:00,thee_Snowy,"The fact that you just disable cellphone banking because you detected a sim swap is annoying, create another way to fix it without me having to VISIT A BRANCH! @CapitecBankSA I don't have these problems with @Discovery_SA"
2022-12-31 10:34:00+00:00,musawenk0si,@KokwanV @CapitecBankSA https://t.co/kcaPhmuuKq
2022-12-31 10:22:53+00:00,khoza_ronald,@FNBSA bye bye white only bank. @CapitecBankSA and @Nedbank you are the only banks that care about black people
2022-12-31 10:19:50+00:00,CapitecBankSA,"@BeachBum_ZA Hi Thabiso, we are sorry to learn about your App experience. Please advise the error message received to assist."
2022-12-31 10:12:38+00:00,BeachBum_ZA,@CapitecBankSA I've been struggling to log on the app for the whole damn day. Niyasihlupha ngemali yethu nina!
2022-12-31 10:04:18+00:00,CapitecBankSA,"@Tshepi247 You pay zero data fees when using our App, here's some insight as to how data free App usage works: 
1.Your data is switched on (even if depleted). 
2. Your phone has an active status with the network. 
Depending on your network provider, after a few days of no data."
2022-12-31 10:02:25+00:00,Tshepi247,@CapitecBankSA Why do we need positive data balance to access your App?
2022-12-31 09:59:17+00:00,Thaboredwine,@Madam_PB @CapitecBankSA  @FNBSA
2022-12-31 09:58:51+00:00,OnkiesMilley,@Madam_PB @CapitecBankSA
2022-12-31 09:55:53+00:00,CapitecBankSA,"@Ms_Dhlomo Hi there, please elaborate in more detail as to how we can assist you with your above enquiry."
2022-12-31 09:20:49+00:00,yenkosi96,"@MABASO_DM97 @Madam_PB @CapitecBankSA Department of education

Majors:  
intersen:social sciences,technology
FET:ENGLISH XHOSA"
2022-12-31 09:14:34+00:00,CapitecBankSA,@SphamandlaXab21 Transfers to external banks can take up to 2 - 3 working days to reflect. This excludes public holidays and weekends. Please confirm with the external bank if the same applies to them.
2022-12-31 09:13:26+00:00,SphamandlaXab21,"@CapitecBankSA Noop from betway acc to my Capitec acc no. Via EFT, so my question was how long it could tale to reflect on my acc.?"
2022-12-31 09:10:56+00:00,CapitecBankSA,"@SphamandlaXab21 Hi Sphamandla, are you trying to withdraw from an ATM?"
2022-12-31 09:08:45+00:00,CapitecBankSA,"@TembsyMajija Hi Queen, all our card replacement are done at the branch."
2022-12-31 08:51:08+00:00,WAfudcook,"Convert your Fiat into BTC and self custody,the banks aint your friend, never have been never will be. @CapitecBankSA is it a standard procedure to have a clients bank acc locked/blocked without informing them formally? Can't access my funds due to your incompetency"
2022-12-31 08:28:41+00:00,alyssa_hlela,@Tshepi247 @CapitecBankSA It’s soo wack
2022-12-31 08:22:51+00:00,CapitecBankSA,"@Tshepi247 Hi there, your tweet is concerning, kindly provide us with more details of your query."
2022-12-31 08:19:59+00:00,Tshepi247,@CapitecBankSA @alyssa_hlela Bathong capitec 😳 why on earth would you do that 🤦🏽‍♀️been thinking it's my phone kanti no it's you mxm 🚮
2022-12-31 07:41:27+00:00,CapitecBankSA,"@dumi_lee We regret learning of your negative App experience. We would like to troubleshoot the matter, please ensure:

&gt; You're using the sim card that is registered on your account to activate the App.
&gt; You have network coverage
&gt; Your cell phone number is verified."
2022-12-31 07:34:14+00:00,dumi_lee,@CapitecBankSA My app is not opening it’s just loading
2022-12-31 07:30:04+00:00,Innocent_Ntokoz,@Madam_PB @CapitecBankSA
2022-12-31 07:13:17+00:00,CapitecBankSA,"@dumi_lee Hi there, please advise how may we assist?"
2022-12-31 07:11:49+00:00,Tlhogiboss,@Madam_PB I would like to work at @CapitecBankSA
2022-12-31 07:10:10+00:00,dumi_lee,@Officialchidi6 @CapitecBankSA Same here
2022-12-31 07:09:28+00:00,MABASO_DM97,@Madam_PB @CapitecBankSA
2022-12-31 06:40:27+00:00,CapitecBankSA,"@Officialchidi6 Hi there, we are sorry to hear about your challenges with the App. Our aim is for the App to be user friendly for all clients. Please check that you are using the latest version of the App, clear your App cache and restart. If this does not resolve the issue, please inbox us"
2022-12-31 06:32:25+00:00,lifeofkoketso,@mphumzi_buhe @Gupta__SA @CapitecBankSA eh
2022-12-31 06:28:45+00:00,Officialchidi6,@CapitecBankSA I have deleted the old one and installed a new one still yet it’s not working I will put in all my details currently it will still show unsuccessful
2022-12-31 06:27:25+00:00,CapitecBankSA,@Officialchidi6 Are you trying to activate the App?
2022-12-31 06:25:45+00:00,Officialchidi6,@CapitecBankSA It’s showing unsuccessful
2022-12-31 06:23:59+00:00,CapitecBankSA,"@Officialchidi6 Hi @Officialchidi6, what is the error you are getting?"
2022-12-31 06:11:48+00:00,mphumzi_buhe,@Gupta__SA Did you take out a loan from @CapitecBankSA
2022-12-31 06:09:24+00:00,Officialchidi6,@CapitecBankSA my Capitec mobile app is not opening I have been trying since yesterday it’s very sad and I don’t have a branch near me
2022-12-31 05:04:52+00:00,SboneloN16,@CapitecBankSA
2022-12-31 04:04:37+00:00,MganuSabelo,"@SSFootball @CapitecBankSA He ddnt unleash the shot, gave it to Graelish and Graelish ddnt rush for a goal then gave him back ,Pure class"
2022-12-30 21:11:14+00:00,Nyikoclassic,@EugeneMt FNB you have a lot of work to do😔.  Thank you @CapitecBankSA and @Nedbank  for coming through for the nation. We Love you 🙏♥️
2022-12-30 20:36:23+00:00,Unc_Solenoid,"@_theGodfather7 @Absa @FNBSA @CapitecBankSA How it should be, too many folks owe me money."
2022-12-30 20:22:23+00:00,_theGodfather7,@Unc_Solenoid @Absa @FNBSA @CapitecBankSA And after 1 day of missed payments I come knock by your uncle's house and take what he likes the most 🤣 I don't play boss
2022-12-30 20:19:58+00:00,Unc_Solenoid,@_theGodfather7 @Absa @FNBSA @CapitecBankSA Lol eish okay fine mashwanisa.
2022-12-30 20:19:14+00:00,_theGodfather7,"@Unc_Solenoid @Absa ,@FNBSA @CapitecBankSA their interest rates are better than mine , I want 100% of what I loan you"
2022-12-30 19:59:25+00:00,CapitecBankSA,@alyssa_hlela 😉
2022-12-30 19:59:04+00:00,alyssa_hlela,@CapitecBankSA 👎🏾
2022-12-30 19:55:27+00:00,CapitecBankSA,"@alyssa_hlela Hi Mahlela, our updated app requires that you have a positive data balance to access it."
2022-12-30 19:46:48+00:00,Maruli2Linda,@LebohangBokako @CapitecBankSA
2022-12-30 19:33:42+00:00,CapitecBankSA,@GcogcoNOMBEBE You're welcome.
2022-12-30 19:15:17+00:00,zEziminqweno,When she says mntaka Mama that’s my Happy New year to you 🥺❤️ umsooon ka @FNBSA  no  @CapitecBankSA  legit my mother’s daughter this one bedibene 🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/D01DWJRoeq
2022-12-30 18:56:58+00:00,AntwoordWeer,@CapitecBankSA Give me R5thao uyeke ukungigqolozela 😐
2022-12-30 18:54:48+00:00,CapitecBankSA,@AntwoordWeer 😳
2022-12-30 18:53:48+00:00,AntwoordWeer,"@CapitecBankSA @Smaseko4 No man, they were gossiping about you...

Uthand iyindaba nawe"
2022-12-30 18:17:14+00:00,SabeloBhebhe,@Nymsidy31 @sa_lottery @CapitecBankSA Eish yaaah💔😰🤔😪😴
2022-12-30 18:12:44+00:00,MasilelaSikwala,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica This one is a Scam I think 💔💔
2022-12-30 17:47:37+00:00,CapitecBankSA,"@siphiwemsibi_ To cancel a debit order, please contact the debiting company. You may call 0860102043 or visit your nearest branch to place a stop on the debit order."
2022-12-30 17:30:30+00:00,siphiwemsibi_,@CapitecBankSA NORMAL DEBIT ORDER
2022-12-30 17:17:39+00:00,Sifundo44771017,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Difficult to even win the competition 👀
2022-12-30 17:09:10+00:00,CapitecBankSA,@Mike_letsoalo Definitely not! #FAKE NEWS!!!!!!
2022-12-30 16:52:37+00:00,tiredoft1sapp,@MsShude @CapitecBankSA It took around 3 hours and cleared
2022-12-30 16:51:55+00:00,KokwanV,I’m no longer replacing my card 🚮  Pay will do the job thank you @CapitecBankSA  for the these cheap plastic bank cards 😑 the Gold cars were even better https://t.co/wTnIwmq2JO
2022-12-30 16:31:06+00:00,SemionYudkovic,@CapitecBankSA is the worst ever on those chargers
2022-12-30 16:16:06+00:00,CapitecBankSA,"@Kwanelexaba5 Hi Kwanele, we sorry to hear this happened to you. Please send us a DM to look into the matter."
2022-12-30 16:14:59+00:00,Kwanelexaba5,@CapitecBankSA This morning R5200 was taken from my account I checked the reference is just numbers I went to my nearest branch they told me I should open a case then come Monday for feedback 😢 😭 even The app is not working &amp; the USSD I'm definitely changing a Bank.
2022-12-30 15:07:17+00:00,rooookaaa12,"@LebohangBokako I'm with @CapitecBankSA , @FNBSA @tymebankza  and @MercantileBank"
2022-12-30 15:06:12+00:00,BeeEmmPee,@MentoorV @sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica They say you must just play and wait for your blessed mpment to arrive!
2022-12-30 14:27:07+00:00,CapitecBankSA,"@GcogcoNOMBEBE Hi Makhumalo, we do not offer group or joint accounts."
2022-12-30 14:22:14+00:00,CapitecBankSA,@MagdMol4 You will receive a notification SMS and the funds will be deposited into your account within 7days.
2022-12-30 14:21:01+00:00,MagdMol4,@CapitecBankSA Is an SMS send a day after winning?
2022-12-30 14:05:35+00:00,CapitecBankSA,@MagdMol4 You are most welcome ❤️
2022-12-30 14:03:28+00:00,MagdMol4,@CapitecBankSA Thank you so much. I appreciate your quick response 🙂
2022-12-30 14:02:00+00:00,CapitecBankSA,"@MagdMol4 Hi Magdeline, for winnings between R50 000 and R249 999 you will receive a notification SMS and the funds will be deposited into your account within 7days."
2022-12-30 13:48:38+00:00,9090Offices,@CapitecBankSA @tauyamoe What's the message says
2022-12-30 13:43:04+00:00,CapitecBankSA,"@Lucky_leraaa Hi there, it is sad to hear how unhappy you are with the service received from the branch team. Please send us a DM so we may look into the matter."
2022-12-30 13:40:57+00:00,Lucky_leraaa,@CapitecBankSA very unhappy with the  service of the sc’s named tlou at capitecbank next to African bank in town he was arrogant and very rude towards me as a client I’m extremely disappointed with his service sometimes we shouldn’t bring home problems at work
2022-12-30 13:21:39+00:00,CapitecBankSA,"@njabzin01 Hi there, kindly DM us, to provide you with the steps."
2022-12-30 13:20:04+00:00,thullythabs,People be careful when you deposit your money @CapitecBankSA I didn't get my money back instead I just received an email saying my case is concluded https://t.co/F1Yp0ZGhdF
2022-12-30 13:15:02+00:00,Ta_tebza,@ntebo_marei @CapitecBankSA In your area
2022-12-30 13:13:09+00:00,njabzin01,"I tried paying for something worth R25 the other day using Apple Pay, it declined saying I’ve exceeded my limit. I don’t know where to increase my limit @CapitecBankSA"
2022-12-30 13:10:54+00:00,SduCash95,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Nice promo 😂
2022-12-30 12:50:23+00:00,CapitecBankSA,@taneal_g Kindly report the matter to our Client Care Department on 0860102043.
2022-12-30 12:46:13+00:00,CapitecBankSA,"@taneal_g Hi there, we regret to learn of this. Please confirm if your balance was affected both days."
2022-12-30 12:25:35+00:00,CapitecBankSA,@VRPotgieter 👍
2022-12-30 12:23:59+00:00,VRPotgieter,@CapitecBankSA Sorted thx
2022-12-30 12:01:11+00:00,CapitecBankSA,"@MonaInColor You can email our Service Recovery team on ServiceRecovery@capitecbank.co.za in order to get assistance while abroad.
The team would require the below information:
•          Savings account number
•          Country
•          Contact number in the country  and Skype"
2022-12-30 11:48:09+00:00,CapitecBankSA,@IamHuggy 👌
2022-12-30 11:45:30+00:00,IamHuggy,"@CapitecBankSA thank you for introducing the Live Better feature on the APP , it would have been quite helpful if I had funds to use it , but it's a great tool for financial freedom."
2022-12-30 11:40:52+00:00,ZeeSigweba,@Madam_PB I gave up on @CapitecBankSA i really wanted to work for them😥 passed their assesments with highest scores even interviews were not bad but dololo
2022-12-30 11:37:55+00:00,IndodaEqotho,@CapitecBankSA @GeraldErasmis 🤣🤣 apply for a loan
2022-12-30 11:35:41+00:00,CapitecBankSA,"@GeraldErasmis Hi Gerald, would you like to apply for a loan?"
2022-12-30 11:11:34+00:00,GiftMosia3,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica When will the winners be paid?
2022-12-30 11:10:14+00:00,WizardKittySA,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Eish. Not a single one from Tyme bank? They must have millions of active players too...
2022-12-30 11:08:49+00:00,Ladylei07889966,@LebohangBokako @CapitecBankSA
2022-12-30 11:05:24+00:00,CapitecBankSA,"@sengswang_8 Hi Lesedi, the funds are unlocked immediately, once you agree on the admin fee."
2022-12-30 11:03:57+00:00,sengswang_8,@CapitecBankSA how long do I wait for the money to transfer in my savings account after unfixing the fixed account before maturity?
2022-12-30 10:53:28+00:00,CapitecBankSA,@Naledi_E_Ntle We apologise for the delay. We have done an escalation to see what could be causing this.
2022-12-30 10:49:29+00:00,CapitecBankSA,@VRPotgieter Please confirm what time did you perform the transfer?
2022-12-30 10:48:33+00:00,memaila,@LungaMrhetjha @CapitecBankSA is the low key biggest scam
2022-12-30 10:46:20+00:00,Moloyi2,@CapitecBankSA So capitec app needs data to be used now?? Not even telkom data can be used😭😭😭 someone might die mos in case of emergency 😭😭😭
2022-12-30 10:41:44+00:00,VRPotgieter,@CapitecBankSA is your immediate payment function down.  Did immediate payment from absa to capitec.  Went off absa but noy reflecting in capitec account
2022-12-30 10:34:46+00:00,CapitecBankSA,"@skombandlela1 Hi there, you will need to contact the sending bank for them to advise how long you need to wait for the funds to reflect, as Capitec is the receiving bank."
2022-12-30 10:33:20+00:00,c2kzen,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica I did play both on my Absa and Capitec apps yet I didn't win. Is it only people you know that won?
2022-12-30 10:31:57+00:00,MentoorV,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica How do you enter? Buy just buying your tickets on a bank app? Is there anything else that I need to do? Thanks.
2022-12-30 10:25:46+00:00,CapitecBankSA,"@koki_lorraine The funds were sent from an FNB account, you would need to confirm with FNB directly."
2022-12-30 10:24:36+00:00,CapitecBankSA,"@ThokozaniBoy Hi @ThokozaniBoy, we have responded to your private message. Please respond via the same thread in order to assist as efficiently as possible."
2022-12-30 10:23:46+00:00,lezzarlomso,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Andiniqondi I play every day baphi abo bantu
2022-12-30 10:22:41+00:00,ThokozaniBoy,"@CapitecBankSA what is going on? I did an instant transfer to capitec account from fnb and up to now the money has not reflected, what is going on?"
2022-12-30 10:22:18+00:00,koki_lorraine,"@CapitecBankSA I have seen about 5 people already, complaining about this matter .  From different banks and the common factor is Capitec"
2022-12-30 10:21:08+00:00,CapitecBankSA,"@koki_lorraine Hi @koki_lorraine, please reach out to FNB directly, as the payment was made from an FNB account."
2022-12-30 10:19:32+00:00,koki_lorraine,Hey @CapitecBankSA I made an immediate payment from FNB about an hour and a half ago and it still hasn’t cleared what’s happening?
2022-12-30 10:16:59+00:00,CapitecBankSA,@Naledi_E_Ntle We apologise for the delay. We have done an escalating to see what could be causing this.
2022-12-30 10:16:28+00:00,koki_lorraine,@CapitecBankSA @SesHerself From FNB
2022-12-30 10:16:12+00:00,koki_lorraine,@SesHerself @CapitecBankSA I thought I was the only one 😭😭😭
2022-12-30 10:13:22+00:00,PJena101,@CapitecBankSA Did
2022-12-30 10:12:43+00:00,Naledi_E_Ntle,"@DityroLekola @CapitecBankSA Hello @CapitecBankSA it’s been almost 2 hours, the money still hasn’t reflected?"
2022-12-30 10:11:21+00:00,Thizozo82,"Congratulations to 18 Banking App #DlalaMoreWinaMore winners who won R25,000 each this week after playing on the @FNBSA, @CapitecBankSA, @StandardBankZA, and @AbsaSouthAfrica banking apps"
2022-12-30 10:10:43+00:00,CapitecBankSA,@mavhungapat Kindly report the matter at your nearest branch.
2022-12-30 10:10:15+00:00,CapitecBankSA,"@tauyamoe Hi Moses, the winners are sent a message."
2022-12-30 10:09:39+00:00,TheMan13797027,"@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica The Ithuba National Lottery platforms have the lowest probability to win a jackpot.
The banking apps have additional fees (between R2 and R3) per transaction.

The Banks makes huge profits on lottery features."
